DATE,DESCRIPTION,AMOUNT,CARD MEMBER,CATEGORY
07/18/2025,SAFEWAY #1842,162.31,M CHEN,
07/22/2025,SAFEWAY #1842,147.44,M CHEN,
07/02/2025,COSTCO WHSE #0431,173.81,M CHEN,
07/06/2025,COSTCO WHSE #0431,190.04,M CHEN,
07/02/2025,TRADER JOES #221,83.44,M CHEN,
07/06/2025,TRADER JOES #221,90.94,M CHEN,
07/10/2025,TRADER JOES #221,102.31,M CHEN,
07/02/2025,STARBUCKS STORE 09112,13.90,M CHEN,
07/06/2025,STARBUCKS STORE 09112,9.72,M CHEN,
07/10/2025,STARBUCKS STORE 09112,13.44,M CHEN,
07/14/2025,STARBUCKS STORE 09112,14.19,M CHEN,
07/18/2025,STARBUCKS STORE 09112,13.35,M CHEN,
07/22/2025,STARBUCKS STORE 09112,10.85,M CHEN,
07/02/2025,TST* CORNER BAKERY DOWNTOWN,33.52,M CHEN,
07/06/2025,TST* CORNER BAKERY DOWNTOWN,43.50,M CHEN,
07/02/2025,DOORDASH ORDER,65.13,M CHEN,
07/06/2025,DOORDASH ORDER,60.82,M CHEN,
07/10/2025,DOORDASH ORDER,45.44,M CHEN,
07/02/2025,CHEVRON 00934521,72.85,M CHEN,
07/06/2025,CHEVRON 00934521,54.75,M CHEN,
07/10/2025,CHEVRON 00934521,80.48,M CHEN,
07/14/2025,CHEVRON 00934521,79.94,M CHEN,
07/02/2025,SHELL OIL 574102,70.29,M CHEN,
07/06/2025,SHELL OIL 574102,59.64,M CHEN,
07/02/2025,AMAZON.COM*RT4G92,74.04,M CHEN,
07/06/2025,AMAZON.COM*RT4G92,82.95,M CHEN,
07/10/2025,AMAZON.COM*RT4G92,75.87,M CHEN,
07/14/2025,AMAZON.COM*RT4G92,86.84,M CHEN,
07/18/2025,AMAZON.COM*RT4G92,64.87,M CHEN,
07/02/2025,TARGET T-1290,95.71,M CHEN,
07/06/2025,TARGET T-1290,67.62,M CHEN,
07/10/2025,TARGET T-1290,93.48,M CHEN,
07/02/2025,CVS PHARMACY #4471,57.11,M CHEN,
07/06/2025,CVS PHARMACY #4471,44.10,M CHEN,
07/02/2025,MAIN STREET PHARMACY,41.20,M CHEN,
07/02/2025,PETCO 1123,70.03,M CHEN,
07/02/2025,HOME DEPOT #6612,149.33,M CHEN,
07/02/2025,UNITED AIRLINES 0162,448.54,M CHEN,
07/02/2025,MARRIOTT HOTELS,272.39,M CHEN,
08/02/2025,SAFEWAY #1842,119.88,M CHEN,
08/06/2025,SAFEWAY #1842,123.15,M CHEN,
08/10/2025,SAFEWAY #1842,142.21,M CHEN,
08/14/2025,SAFEWAY #1842,158.12,M CHEN,
08/18/2025,SAFEWAY #1842,125.96,M CHEN,
08/22/2025,SAFEWAY #1842,168.56,M CHEN,
08/02/2025,COSTCO WHSE #0431,189.22,M CHEN,
08/06/2025,COSTCO WHSE #0431,239.60,M CHEN,
08/02/2025,TRADER JOES #221,89.09,M CHEN,
08/06/2025,TRADER JOES #221,97.18,M CHEN,
08/10/2025,TRADER JOES #221,79.46,M CHEN,
08/02/2025,STARBUCKS STORE 09112,10.39,M CHEN,
08/06/2025,STARBUCKS STORE 09112,11.73,M CHEN,
08/10/2025,STARBUCKS STORE 09112,12.46,M CHEN,
08/14/2025,STARBUCKS STORE 09112,14.49,M CHEN,
08/18/2025,STARBUCKS STORE 09112,10.59,M CHEN,
08/22/2025,STARBUCKS STORE 09112,14.27,M CHEN,
08/02/2025,TST* CORNER BAKERY DOWNTOWN,30.71,M CHEN,
08/06/2025,TST* CORNER BAKERY DOWNTOWN,43.90,M CHEN,
08/02/2025,DOORDASH ORDER,41.47,M CHEN,
08/06/2025,DOORDASH ORDER,40.84,M CHEN,
08/10/2025,DOORDASH ORDER,60.01,M CHEN,
08/02/2025,CHEVRON 00934521,76.68,M CHEN,
08/06/2025,CHEVRON 00934521,51.04,M CHEN,
08/10/2025,CHEVRON 00934521,76.98,M CHEN,
08/14/2025,CHEVRON 00934521,61.65,M CHEN,
08/02/2025,SHELL OIL 574102,50.14,M CHEN,
08/06/2025,SHELL OIL 574102,67.42,M CHEN,
08/02/2025,AMAZON.COM*RT4G92,82.19,M CHEN,
08/06/2025,AMAZON.COM*RT4G92,75.68,M CHEN,
08/10/2025,AMAZON.COM*RT4G92,71.79,M CHEN,
08/14/2025,AMAZON.COM*RT4G92,74.35,M CHEN,
08/18/2025,AMAZON.COM*RT4G92,60.84,M CHEN,
08/02/2025,TARGET T-1290,74.28,M CHEN,
08/06/2025,TARGET T-1290,103.13,M CHEN,
08/10/2025,TARGET T-1290,67.72,M CHEN,
08/02/2025,CVS PHARMACY #4471,56.89,M CHEN,
08/06/2025,CVS PHARMACY #4471,41.23,M CHEN,
08/02/2025,MAIN STREET PHARMACY,39.63,M CHEN,
08/02/2025,PETCO 1123,46.85,M CHEN,
08/02/2025,HOME DEPOT #6612,105.22,M CHEN,
08/02/2025,UNITED AIRLINES 0162,418.70,M CHEN,
08/02/2025,MARRIOTT HOTELS,309.81,M CHEN,
09/02/2025,SAFEWAY #1842,133.12,M CHEN,
09/06/2025,SAFEWAY #1842,116.37,M CHEN,
09/10/2025,SAFEWAY #1842,152.24,M CHEN,
09/14/2025,SAFEWAY #1842,139.55,M CHEN,
09/18/2025,SAFEWAY #1842,121.44,M CHEN,
09/22/2025,SAFEWAY #1842,169.71,M CHEN,
09/02/2025,COSTCO WHSE #0431,157.77,M CHEN,
09/06/2025,COSTCO WHSE #0431,164.36,M CHEN,
09/02/2025,TRADER JOES #221,72.21,M CHEN,
09/06/2025,TRADER JOES #221,87.60,M CHEN,
09/10/2025,TRADER JOES #221,78.92,M CHEN,
09/02/2025,STARBUCKS STORE 09112,13.83,M CHEN,
09/06/2025,STARBUCKS STORE 09112,12.15,M CHEN,
09/10/2025,STARBUCKS STORE 09112,12.52,M CHEN,
09/14/2025,STARBUCKS STORE 09112,10.23,M CHEN,
09/18/2025,STARBUCKS STORE 09112,10.91,M CHEN,
09/22/2025,STARBUCKS STORE 09112,9.81,M CHEN,
09/02/2025,TST* CORNER BAKERY DOWNTOWN,40.20,M CHEN,
09/06/2025,TST* CORNER BAKERY DOWNTOWN,28.63,M CHEN,
09/02/2025,DOORDASH ORDER,57.52,M CHEN,
09/06/2025,DOORDASH ORDER,60.95,M CHEN,
09/10/2025,DOORDASH ORDER,67.09,M CHEN,
09/02/2025,CHEVRON 00934521,71.46,M CHEN,
09/06/2025,CHEVRON 00934521,53.40,M CHEN,
09/10/2025,CHEVRON 00934521,60.33,M CHEN,
09/14/2025,CHEVRON 00934521,76.50,M CHEN,
09/02/2025,SHELL OIL 574102,63.81,M CHEN,
09/06/2025,SHELL OIL 574102,72.77,M CHEN,
09/02/2025,AMAZON.COM*RT4G92,88.09,M CHEN,
09/06/2025,AMAZON.COM*RT4G92,84.88,M CHEN,
09/10/2025,AMAZON.COM*RT4G92,68.46,M CHEN,
09/14/2025,AMAZON.COM*RT4G92,72.22,M CHEN,
09/18/2025,AMAZON.COM*RT4G92,73.68,M CHEN,
09/02/2025,TARGET T-1290,78.61,M CHEN,
09/06/2025,TARGET T-1290,73.96,M CHEN,
09/10/2025,TARGET T-1290,87.50,M CHEN,
09/02/2025,CVS PHARMACY #4471,50.07,M CHEN,
09/06/2025,CVS PHARMACY #4471,55.88,M CHEN,
09/02/2025,MAIN STREET PHARMACY,34.43,M CHEN,
09/02/2025,PETCO 1123,54.07,M CHEN,
09/02/2025,HOME DEPOT #6612,110.96,M CHEN,
09/02/2025,UNITED AIRLINES 0162,428.22,M CHEN,
09/02/2025,MARRIOTT HOTELS,318.27,M CHEN,
10/02/2025,SAFEWAY #1842,156.86,M CHEN,
10/06/2025,SAFEWAY #1842,150.76,M CHEN,
10/10/2025,SAFEWAY #1842,145.10,M CHEN,
10/14/2025,SAFEWAY #1842,166.57,M CHEN,
10/18/2025,SAFEWAY #1842,153.75,M CHEN,
10/22/2025,SAFEWAY #1842,175.78,M CHEN,
10/02/2025,COSTCO WHSE #0431,255.73,M CHEN,
10/06/2025,COSTCO WHSE #0431,182.50,M CHEN,
10/02/2025,TRADER JOES #221,75.97,M CHEN,
10/06/2025,TRADER JOES #221,100.44,M CHEN,
10/10/2025,TRADER JOES #221,93.23,M CHEN,
10/02/2025,STARBUCKS STORE 09112,13.65,M CHEN,
10/06/2025,STARBUCKS STORE 09112,9.80,M CHEN,
10/10/2025,STARBUCKS STORE 09112,9.63,M CHEN,
10/14/2025,STARBUCKS STORE 09112,12.96,M CHEN,
10/18/2025,STARBUCKS STORE 09112,14.63,M CHEN,
10/22/2025,STARBUCKS STORE 09112,11.14,M CHEN,
10/02/2025,TST* CORNER BAKERY DOWNTOWN,44.56,M CHEN,
10/06/2025,TST* CORNER BAKERY DOWNTOWN,40.07,M CHEN,
10/02/2025,DOORDASH ORDER,48.06,M CHEN,
10/06/2025,DOORDASH ORDER,50.78,M CHEN,
10/10/2025,DOORDASH ORDER,56.04,M CHEN,
10/02/2025,CHEVRON 00934521,57.14,M CHEN,
10/06/2025,CHEVRON 00934521,79.09,M CHEN,
10/10/2025,CHEVRON 00934521,75.23,M CHEN,
10/14/2025,CHEVRON 00934521,61.20,M CHEN,
10/02/2025,SHELL OIL 574102,71.52,M CHEN,
10/06/2025,SHELL OIL 574102,63.24,M CHEN,
10/02/2025,AMAZON.COM*RT4G92,59.76,M CHEN,
10/06/2025,AMAZON.COM*RT4G92,82.09,M CHEN,
10/10/2025,AMAZON.COM*RT4G92,58.47,M CHEN,
10/14/2025,AMAZON.COM*RT4G92,60.66,M CHEN,
10/18/2025,AMAZON.COM*RT4G92,89.65,M CHEN,
10/02/2025,TARGET T-1290,93.37,M CHEN,
10/06/2025,TARGET T-1290,71.42,M CHEN,
10/10/2025,TARGET T-1290,105.37,M CHEN,
10/02/2025,CVS PHARMACY #4471,49.12,M CHEN,
10/06/2025,CVS PHARMACY #4471,49.90,M CHEN,
10/02/2025,MAIN STREET PHARMACY,28.94,M CHEN,
10/02/2025,PETCO 1123,68.99,M CHEN,
10/02/2025,HOME DEPOT #6612,94.50,M CHEN,
10/02/2025,UNITED AIRLINES 0162,380.86,M CHEN,
10/02/2025,MARRIOTT HOTELS,348.98,M CHEN,
11/02/2025,SAFEWAY #1842,118.94,M CHEN,
11/06/2025,SAFEWAY #1842,112.62,M CHEN,
11/10/2025,SAFEWAY #1842,130.66,M CHEN,
11/14/2025,SAFEWAY #1842,159.66,M CHEN,
11/18/2025,SAFEWAY #1842,141.33,M CHEN,
11/22/2025,SAFEWAY #1842,183.44,M CHEN,
11/02/2025,COSTCO WHSE #0431,178.75,M CHEN,
11/06/2025,COSTCO WHSE #0431,160.80,M CHEN,
11/02/2025,TRADER JOES #221,76.51,M CHEN,
11/06/2025,TRADER JOES #221,103.00,M CHEN,
11/10/2025,TRADER JOES #221,95.42,M CHEN,
11/02/2025,STARBUCKS STORE 09112,9.11,M CHEN,
11/06/2025,STARBUCKS STORE 09112,12.36,M CHEN,
11/10/2025,STARBUCKS STORE 09112,12.72,M CHEN,
11/14/2025,STARBUCKS STORE 09112,13.37,M CHEN,
11/18/2025,STARBUCKS STORE 09112,11.58,M CHEN,
11/22/2025,STARBUCKS STORE 09112,14.18,M CHEN,
11/02/2025,TST* CORNER BAKERY DOWNTOWN,45.49,M CHEN,
11/06/2025,TST* CORNER BAKERY DOWNTOWN,35.84,M CHEN,
11/02/2025,DOORDASH ORDER,60.67,M CHEN,
11/06/2025,DOORDASH ORDER,45.54,M CHEN,
11/10/2025,DOORDASH ORDER,53.83,M CHEN,
11/02/2025,CHEVRON 00934521,52.70,M CHEN,
11/06/2025,CHEVRON 00934521,59.45,M CHEN,
11/10/2025,CHEVRON 00934521,66.28,M CHEN,
11/14/2025,CHEVRON 00934521,62.23,M CHEN,
11/02/2025,SHELL OIL 574102,63.06,M CHEN,
11/06/2025,SHELL OIL 574102,61.17,M CHEN,
11/02/2025,AMAZON.COM*RT4G92,68.46,M CHEN,
11/06/2025,AMAZON.COM*RT4G92,90.19,M CHEN,
11/10/2025,AMAZON.COM*RT4G92,60.60,M CHEN,
11/14/2025,AMAZON.COM*RT4G92,91.12,M CHEN,
11/18/2025,AMAZON.COM*RT4G92,75.76,M CHEN,
11/02/2025,TARGET T-1290,108.25,M CHEN,
11/06/2025,TARGET T-1290,103.57,M CHEN,
11/10/2025,TARGET T-1290,83.82,M CHEN,
11/02/2025,CVS PHARMACY #4471,56.05,M CHEN,
11/06/2025,CVS PHARMACY #4471,38.50,M CHEN,
11/02/2025,MAIN STREET PHARMACY,33.12,M CHEN,
11/02/2025,PETCO 1123,50.33,M CHEN,
11/02/2025,HOME DEPOT #6612,115.94,M CHEN,
11/02/2025,UNITED AIRLINES 0162,421.52,M CHEN,
11/02/2025,MARRIOTT HOTELS,296.24,M CHEN,
12/02/2025,SAFEWAY #1842,149.63,M CHEN,
12/06/2025,SAFEWAY #1842,114.26,M CHEN,
12/10/2025,SAFEWAY #1842,169.14,M CHEN,
12/14/2025,SAFEWAY #1842,127.93,M CHEN,
12/18/2025,SAFEWAY #1842,123.77,M CHEN,
12/22/2025,SAFEWAY #1842,170.97,M CHEN,
12/02/2025,COSTCO WHSE #0431,237.54,M CHEN,
12/06/2025,COSTCO WHSE #0431,231.56,M CHEN,
12/02/2025,TRADER JOES #221,75.48,M CHEN,
12/06/2025,TRADER JOES #221,101.75,M CHEN,
12/10/2025,TRADER JOES #221,78.16,M CHEN,
12/02/2025,STARBUCKS STORE 09112,10.99,M CHEN,
12/06/2025,STARBUCKS STORE 09112,14.36,M CHEN,
12/10/2025,STARBUCKS STORE 09112,9.63,M CHEN,
12/14/2025,STARBUCKS STORE 09112,14.82,M CHEN,
12/18/2025,STARBUCKS STORE 09112,10.48,M CHEN,
12/22/2025,STARBUCKS STORE 09112,11.66,M CHEN,
12/02/2025,TST* CORNER BAKERY DOWNTOWN,34.23,M CHEN,
12/06/2025,TST* CORNER BAKERY DOWNTOWN,38.28,M CHEN,
12/02/2025,DOORDASH ORDER,64.42,M CHEN,
12/06/2025,DOORDASH ORDER,66.11,M CHEN,
12/10/2025,DOORDASH ORDER,48.21,M CHEN,
12/02/2025,CHEVRON 00934521,75.77,M CHEN,
12/06/2025,CHEVRON 00934521,55.07,M CHEN,
12/10/2025,CHEVRON 00934521,57.19,M CHEN,
12/14/2025,CHEVRON 00934521,57.01,M CHEN,
12/02/2025,SHELL OIL 574102,71.17,M CHEN,
